No;Kode Wilayah;Wilayah;Tahun;Jumlah Sekolah 
1;32.04.16;Arjasari;2021;47
2;32.04.32;Baleendah;2021;68
3;32.04.13;Banjaran;2021;46
4;32.04.08;Bojongsoang;2021;31
5;32.04.44;Cangkuang;2021;23
6;32.04.25;Cicalengka;2021;48
7;32.04.27;Cikancung;2021;42
8;32.04.07;Cilengkrang;2021;20
9;32.04.05;Cileunyi;2021;54
10;32.04.17;Cimaung;2021;33
11;32.04.06;Cimenyan;2021;49
12;32.04.29;Ciparay;2021;69
13;32.04.39;Ciwidey;2021;33
14;32.04.12;Dayeuhkolot;2021;49
15;32.04.36;Ibun;2021;48
16;32.04.11;Katapang;2021;36
17;32.04.31;Kertasari;2021;43
18;32.04.46;Kutawaringin;2021;45
19;32.04.33;Majalaya;2021;69
20;32.04.10;Margaasih;2021;44
21;32.04.09;Margahayu;2021;45
22;32.04.26;Nagreg;2021;28
23;32.04.30;Pacet;2021;50
24;32.04.14;Pameungpeuk;2021;29
25;32.04.15;Pangalengan;2021;70
26;32.04.35;Paseh;2021;66
27;32.04.38;Pasirjambu;2021;44
28;32.04.40;Rancabali;2021;31
29;32.04.28;Rancaekek;2021;67
30;32.04.34;Solokanjeruk;2021;44
31;32.04.37;Soreang;2021;40
32;32.04.16;Arjasari;2022;48
33;32.04.32;Baleendah;2022;67
34;32.04.13;Banjaran;2022;46
35;32.04.08;Bojongsoang;2022;32
36;32.04.44;Cangkuang;2022;24
37;32.04.25;Cicalengka;2022;47
38;32.04.27;Cikancung;2022;42
39;32.04.07;Cilengkrang;2022;20
40;32.04.05;Cileunyi;2022;57
41;32.04.17;Cimaung;2022;33
42;32.04.06;Cimenyan;2022;51
43;32.04.29;Ciparay;2022;69
44;32.04.39;Ciwidey;2022;32
45;32.04.12;Dayeuhkolot;2022;47
46;32.04.36;Ibun;2022;48
47;32.04.11;Katapang;2022;37
48;32.04.31;Kertasari;2022;43
49;32.04.46;Kutawaringin;2022;45
50;32.04.33;Majalaya;2022;69
51;32.04.10;Margaasih;2022;38
52;32.04.09;Margahayu;2022;44
53;32.04.26;Nagreg;2022;29
54;32.04.30;Pacet;2022;51
55;32.04.14;Pameungpeuk;2022;28
56;32.04.15;Pangalengan;2022;71
57;32.04.35;Paseh;2022;67
58;32.04.38;Pasirjambu;2022;44
59;32.04.40;Rancabali;2022;30
60;32.04.28;Rancaekek;2022;68
61;32.04.34;Solokanjeruk;2022;44
62;32.04.37;Soreang;2022;40
63;32.04.16;Arjasari;2023;48
64;32.04.32;Baleendah;2023;67
65;32.04.13;Banjaran;2023;48
66;32.04.08;Bojongsoang;2023;32
67;32.04.44;Cangkuang;2023;24
68;32.04.25;Cicalengka;2023;47
69;32.04.27;Cikancung;2023;42
70;32.04.07;Cilengkrang;2023;20
71;32.04.05;Cileunyi;2023;60
72;32.04.17;Cimaung;2023;33
73;32.04.06;Cimenyan;2023;51
74;32.04.29;Ciparay;2023;69
75;32.04.39;Ciwidey;2023;32
76;32.04.12;Dayeuhkolot;2023;49
77;32.04.36;Ibun;2023;48
78;32.04.11;Katapang;2023;37
79;32.04.31;Kertasari;2023;43
80;32.04.46;Kutawaringin;2023;45
81;32.04.33;Majalaya;2023;69
82;32.04.10;Margaasih;2023;38
83;32.04.09;Margahayu;2023;44
84;32.04.26;Nagreg;2023;30
85;32.04.30;Pacet;2023;51
86;32.04.14;Pameungpeuk;2023;29
87;32.04.15;Pangalengan;2023;71
88;32.04.35;Paseh;2023;68
89;32.04.38;Pasirjambu;2023;44
90;32.04.40;Rancabali;2023;30
91;32.04.28;Rancaekek;2023;69
92;32.04.34;Solokanjeruk;2023;44
93;32.04.37;Soreang;2023;40
